,id,agency,agency_type,distribution_channel,product_name,claim,duration,destination,net_sales,commission,gender,age
3714,3715,JZI,Airlines,Online,Basic Plan,No,266,PHILIPPINES,37,12.95,F,27
3715,3716,JZI,Airlines,Online,Basic Plan,No,4,MALAYSIA,18,6.3,M,60
3716,3717,JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,18,6.3,M,60
3717,3718,JZI,Airlines,Online,Basic Plan,No,101,INDONESIA,22,7.7,F,46
3718,3719,JZI,Airlines,Online,Basic Plan,No,14,MALAYSIA,22,7.7,F,45
3719,3720,JZI,Airlines,Online,Basic Plan,No,82,INDIA,69,24.15,F,33
3720,3721,JZI,Airlines,Online,Basic Plan,No,9,THAILAND,18,6.3,M,38
3721,3722,JZI,Airlines,Online,Basic Plan,No,9,MALAYSIA,18,6.3,M,42
3722,3723,JZI,Airlines,Online,Basic Plan,No,18,VIET NAM,22,7.7,M,51
3723,3724,JZI,Airlines,Online,Basic Plan,No,4,THAILAND,18,6.3,F,46
3724,3725,JZI,Airlines,Online,Basic Plan,No,12,MALAYSIA,18,6.3,M,71
3725,3726,JZI,Airlines,Online,Basic Plan,No,108,THAILAND,22,7.7,M,30
3726,3727,JZI,Airlines,Online,Value Plan,No,40,GERMANY,87,30.45,M,38
3727,3728,JZI,Airlines,Online,Value Plan,No,58,NETHERLANDS,67,23.45,M,39
3728,3729,JZI,Airlines,Online,Value Plan,No,6,JAPAN,36,12.6,F,46
3729,3730,JZI,Airlines,Online,Value Plan,No,32,TURKEY,87,30.45,M,32
3730,3731,JZI,Airlines,Online,Value Plan,No,19,MONGOLIA,83,29.05,M,33
3731,3732,CSR,Travel Agency,Offline,Comprehensive Plan,No,56,THAILAND,29,9.57,F,70
3732,3733,C2B,Airlines,Online,Bronze Plan,No,34,SINGAPORE,37,9.26,M,31
3733,3734,C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,18,4.39,F,45
3734,3735,C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,18,4.39,F,25
3735,3736,C2B,Airlines,Online,Annual Silver Plan,No,369,SINGAPORE,188,46.96,M,41
3736,3737,C2B,Airlines,Online,Annual Silver Plan,No,373,SINGAPORE,253,63.21,M,31
3737,3738,JWT,Airlines,Online,Value Plan,No,5,INDIA,31,12.4,M,118
3738,3739,KML,Travel Agency,Online,Premier Plan,No,86,NETHERLANDS,171,64.98,M,48
3739,3740,RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15,6.0,M,22
3740,3741,JZI,Airlines,Online,Basic Plan,No,31,PHILIPPINES,30,10.5,F,36
3741,3742,JZI,Airlines,Online,Basic Plan,No,24,THAILAND,22,7.7,F,22
3742,3743,JZI,Airlines,Online,Basic Plan,No,108,MALAYSIA,22,7.7,M,30
3743,3744,JZI,Airlines,Online,Basic Plan,No,9,PHILIPPINES,30,10.5,F,37
3744,3745,JZI,Airlines,Online,Basic Plan,No,19,GUINEA,61,21.35,F,48
3745,3746,JZI,Airlines,Online,Basic Plan,No,173,THAILAND,22,7.7,M,34
3746,3747,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18,6.3,M,60
3747,3748,JZI,Airlines,Online,Basic Plan,No,29,THAILAND,18,6.3,M,38
3748,3749,JZI,Airlines,Online,Basic Plan,No,5,AUSTRALIA,22,7.7,M,44
3749,3750,JZI,Airlines,Online,Basic Plan,No,22,AUSTRALIA,26,9.1,M,54
3750,3751,JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,22,7.7,M,42
3751,3752,JZI,Airlines,Online,Basic Plan,No,51,JAPAN,35,12.25,F,43
3752,3753,JZI,Airlines,Online,Basic Plan,No,6,CHINA,22,7.7,M,70
3753,3754,JZI,Airlines,Online,Basic Plan,No,39,THAILAND,22,7.7,M,60
3754,3755,JZI,Airlines,Online,Basic Plan,No,19,NEW ZEALAND,22,7.7,F,36
3755,3756,JZI,Airlines,Online,Basic Plan,No,69,THAILAND,22,7.7,M,35
3756,3757,JZI,Airlines,Online,Value Plan,No,13,AUSTRALIA,58,20.3,F,57
3757,3758,JZI,Airlines,Online,Value Plan,No,24,JAPAN,92,32.2,M,41
3758,3759,JZI,Airlines,Online,Value Plan,No,114,UNITED STATES,386,135.1,M,24
3759,3760,CCR,Travel Agency,Offline,Premier Plan,No,249,THAILAND,58,19.14,F,62
3760,3761,CCR,Travel Agency,Offline,Premier Plan,No,249,THAILAND,58,19.14,M,63
3761,3762,C2B,Airlines,Online,Bronze Plan,No,191,SINGAPORE,38,9.59,F,63
3762,3763,C2B,Airlines,Online,Bronze Plan,No,78,SINGAPORE,45,11.21,M,26
3763,3764,C2B,Airlines,Online,Bronze Plan,No,34,SINGAPORE,31,7.64,F,31
3764,3765,C2B,Airlines,Online,Bronze Plan,No,17,SINGAPORE,38,9.59,M,28
3765,3766,C2B,Airlines,Online,Bronze Plan,No,17,SINGAPORE,38,9.59,F,26
3766,3767,C2B,Airlines,Online,Silver Plan,No,50,SINGAPORE,83,20.64,M,28
3767,3768,C2B,Airlines,Online,Annual Silver Plan,No,380,SINGAPORE,253,63.21,F,37
3768,3769,C2B,Airlines,Online,Annual Silver Plan,No,366,SINGAPORE,253,63.21,F,24
3769,3770,JWT,Airlines,Online,Value Plan,No,6,INDIA,39,15.6,M,118
3770,3771,RAB,Airlines,Online,Value Plan,No,78,BRUNEI DARUSSALAM,23,9.2,F,25
3771,3772,RAB,Airlines,Online,Value Plan,No,20,BRUNEI DARUSSALAM,31,12.4,F,55
3772,3773,RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15,6.0,F,55
3773,3774,JZI,Airlines,Online,Basic Plan,No,25,INDIA,26,9.1,M,50
3774,3775,JZI,Airlines,Online,Basic Plan,No,102,CHINA,40,14.0,M,54
3775,3776,JZI,Airlines,Online,Basic Plan,No,172,INDONESIA,18,6.3,F,33
3776,3777,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,30,10.5,M,55
3777,3778,JZI,Airlines,Online,Basic Plan,No,11,CHINA,26,9.1,M,47
3778,3779,JZI,Airlines,Online,Basic Plan,No,266,PHILIPPINES,37,12.95,F,32
3779,3780,JZI,Airlines,Online,Basic Plan,No,34,THAILAND,18,6.3,M,42
3780,3781,JZI,Airlines,Online,Basic Plan,No,32,THAILAND,30,10.5,M,45
3781,3782,JZI,Airlines,Online,Basic Plan,No,39,THAILAND,22,7.7,M,60
3782,3783,JZI,Airlines,Online,Basic Plan,No,19,HONG KONG,40,14.0,M,44
3783,3784,JZI,Airlines,Online,Basic Plan,No,66,CHINA,63,22.05,M,26
3784,3785,JZI,Airlines,Online,Basic Plan,No,87,INDONESIA,47,16.45,F,48
3785,3786,C2B,Airlines,Online,Bronze Plan,No,56,SINGAPORE,70,17.39,F,35
3786,3787,C2B,Airlines,Online,Bronze Plan,No,60,SINGAPORE,31,7.64,F,73
3787,3788,C2B,Airlines,Online,Bronze Plan,No,15,SINGAPORE,31,7.64,M,28
3788,3789,C2B,Airlines,Online,Bronze Plan,No,39,SINGAPORE,30,7.47,M,23
3789,3790,C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,0,4.39,F,38
3790,3791,C2B,Airlines,Online,Bronze Plan,No,28,SINGAPORE,66,16.41,F,65
3791,3792,C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,22,5.53,F,27
3792,3793,C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,31,7.64,F,60
3793,3794,C2B,Airlines,Online,Bronze Plan,No,14,SINGAPORE,18,4.39,F,40
3794,3795,C2B,Airlines,Online,Bronze Plan,No,30,SINGAPORE,38,9.59,F,33
3795,3796,C2B,Airlines,Online,Bronze Plan,No,82,SINGAPORE,70,17.39,F,32
3796,3797,C2B,Airlines,Online,Silver Plan,No,14,SINGAPORE,44,10.89,F,47
3797,3798,C2B,Airlines,Online,Silver Plan,No,16,SINGAPORE,55,13.65,F,25
3798,3799,C2B,Airlines,Online,Annual Silver Plan,Yes,376,SINGAPORE,188,46.96,M,28
3799,3800,JWT,Airlines,Online,Value Plan,No,8,INDIA,39,15.6,M,118
3800,3801,JWT,Airlines,Online,Value Plan,No,42,INDIA,60,24.0,M,118
3801,3802,RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15,6.0,F,30
3802,3803,RAB,Airlines,Online,Value Plan,No,15,BRUNEI DARUSSALAM,23,9.2,M,58
3803,3804,JZI,Airlines,Online,Basic Plan,No,11,PHILIPPINES,30,10.5,F,65
3804,3805,JZI,Airlines,Online,Basic Plan,No,22,MALAYSIA,22,7.7,F,37
3805,3806,JZI,Airlines,Online,Basic Plan,No,46,CHINA,44,15.4,F,54
3806,3807,JZI,Airlines,Online,Basic Plan,No,72,INDONESIA,22,7.7,F,46
3807,3808,JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18,6.3,M,59
3808,3809,JZI,Airlines,Online,Basic Plan,No,35,MYANMAR,22,7.7,M,28
3809,3810,JZI,Airlines,Online,Basic Plan,No,29,VIET NAM,22,7.7,F,37
3810,3811,JZI,Airlines,Online,Basic Plan,No,4,INDONESIA,18,6.3,F,29
3811,3812,JZI,Airlines,Online,Basic Plan,No,24,HONG KONG,26,9.1,M,36
3812,3813,JZI,Airlines,Online,Value Plan,No,122,IRELAND,49,17.15,M,22
3813,3814,JZI,Airlines,Online,Value Plan,No,34,UNITED ARAB EMIRATES,208,72.8,F,48
3814,3815,CSR,Travel Agency,Offline,Comprehensive Plan,No,228,THAILAND,29,9.57,F,66
3815,3816,ART,Airlines,Online,Value Plan,No,20,CHINA,51,17.85,F,118
3816,3817,C2B,Airlines,Online,Bronze Plan,No,44,SINGAPORE,100,25.02,M,32
3817,3818,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,18,4.39,M,27
3818,3819,C2B,Airlines,Online,Bronze Plan,No,14,SINGAPORE,61,15.28,F,35
3819,3820,C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,22,5.53,F,63
3820,3821,C2B,Airlines,Online,Bronze Plan,No,30,SINGAPORE,38,9.59,M,37
3821,3822,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,23,5.85,F,31
3822,3823,C2B,Airlines,Online,Bronze Plan,No,5,SINGAPORE,18,4.39,M,28
3823,3824,C2B,Airlines,Online,Silver Plan,No,15,SINGAPORE,24,6.01,F,55
3824,3825,C2B,Airlines,Online,Silver Plan,No,49,SINGAPORE,83,20.64,M,30
3825,3826,C2B,Airlines,Online,Silver Plan,No,6,SINGAPORE,54,13.49,M,22
3826,3827,C2B,Airlines,Online,Silver Plan,No,7,SINGAPORE,27,6.66,F,20
3827,3828,C2B,Airlines,Online,Silver Plan,No,19,SINGAPORE,0,16.09,F,29
3828,3829,C2B,Airlines,Online,Silver Plan,No,45,SINGAPORE,0,17.75,M,37
3829,3830,C2B,Airlines,Online,Silver Plan,No,45,SINGAPORE,71,17.75,M,37
3830,3831,C2B,Airlines,Online,Annual Silver Plan,No,366,SINGAPORE,253,63.21,M,53
3831,3832,C2B,Airlines,Online,Annual Silver Plan,No,397,SINGAPORE,253,63.21,F,34
3832,3833,C2B,Airlines,Online,Annual Silver Plan,No,411,SINGAPORE,188,46.96,F,66
3833,3834,C2B,Airlines,Online,Annual Gold Plan,Yes,364,SINGAPORE,389,97.34,M,49
3834,3835,C2B,Airlines,Online,Annual Gold Plan,No,365,SINGAPORE,389,97.34,F,59
3835,3836,JWT,Airlines,Online,Value Plan,No,20,INDIA,50,20.0,M,118
3836,3837,JWT,Airlines,Online,Value Plan,No,5,INDIA,39,15.6,M,118
3837,3838,JWT,Airlines,Online,Value Plan,No,14,INDIA,31,12.4,M,118
3838,3839,JWT,Airlines,Online,Value Plan,No,14,INDIA,31,12.4,M,118
3839,3840,JWT,Airlines,Online,Value Plan,No,17,INDIA,72,28.8,M,118
3840,3841,KML,Travel Agency,Online,Value Plan,No,65,INDONESIA,28,10.64,F,48
3841,3842,KML,Travel Agency,Online,Value Plan,No,42,UNITED KINGDOM,75,28.5,F,48
3842,3843,KML,Travel Agency,Online,Value Plan,No,75,CZECH REPUBLIC,95,36.1,M,48
3843,3844,RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15,6.0,F,50
3844,3845,RAB,Airlines,Online,Value Plan,No,1,BRUNEI DARUSSALAM,15,6.0,M,46
3845,3846,RAB,Airlines,Online,Value Plan,No,56,BRUNEI DARUSSALAM,23,9.2,F,18
3846,3847,RAB,Airlines,Online,Value Plan,No,15,BRUNEI DARUSSALAM,15,6.0,F,26
3847,3848,JZI,Airlines,Online,Basic Plan,No,33,CHINA,26,9.1,F,42
3848,3849,JZI,Airlines,Online,Basic Plan,No,2,CHINA,22,7.7,M,42
3849,3850,JZI,Airlines,Online,Basic Plan,No,4,CHINA,22,7.7,M,48
3850,3851,JZI,Airlines,Online,Basic Plan,No,19,THAILAND,22,7.7,M,55
3851,3852,JZI,Airlines,Online,Basic Plan,No,33,THAILAND,42,14.7,M,35
3852,3853,JZI,Airlines,Online,Basic Plan,No,44,HONG KONG,26,9.1,M,23
3853,3854,JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,18,6.3,F,38
3854,3855,JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,18,6.3,M,55
3855,3856,JZI,Airlines,Online,Basic Plan,No,14,THAILAND,22,7.7,M,44
3856,3857,JZI,Airlines,Online,Basic Plan,No,46,VIET NAM,22,7.7,M,31
3857,3858,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,22,7.7,F,60
3858,3859,JZI,Airlines,Online,Basic Plan,No,1,CHINA,22,7.7,M,33
3859,3860,JZI,Airlines,Online,Basic Plan,No,4,THAILAND,22,7.7,F,33
3860,3861,JZI,Airlines,Online,Basic Plan,No,11,THAILAND,22,7.7,M,51
3861,3862,JZI,Airlines,Online,Basic Plan,No,10,VIET NAM,30,10.5,M,57
3862,3863,JZI,Airlines,Online,Basic Plan,No,24,CHINA,35,12.25,M,59
3863,3864,JZI,Airlines,Online,Basic Plan,No,41,HONG KONG,35,12.25,M,53
3864,3865,JZI,Airlines,Online,Basic Plan,No,8,BRUNEI DARUSSALAM,22,7.7,F,61
3865,3866,JZI,Airlines,Online,Value Plan,No,5,UNITED ARAB EMIRATES,67,23.45,F,48
3866,3867,JZI,Airlines,Online,Value Plan,No,25,HONG KONG,83,29.05,F,30
3867,3868,JZI,Airlines,Online,Value Plan,No,31,UNITED KINGDOM,67,23.45,M,55
3868,3869,CCR,Travel Agency,Offline,Comprehensive Plan,No,46,THAILAND,29,9.57,F,118
3869,3870,CCR,Travel Agency,Offline,Premier Plan,No,20,THAILAND,58,19.14,M,65
3870,3871,ART,Airlines,Online,Value Plan,No,60,THAILAND,29,10.15,M,118
3871,3872,C2B,Airlines,Online,Bronze Plan,No,44,SINGAPORE,31,7.64,M,68
3872,3873,C2B,Airlines,Online,Bronze Plan,Yes,64,SINGAPORE,71,17.75,M,33
3873,3874,C2B,Airlines,Online,Bronze Plan,No,16,SINGAPORE,30,7.47,M,25
3874,3875,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,18,4.39,M,25
3875,3876,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,18,4.39,F,61
3876,3877,C2B,Airlines,Online,Bronze Plan,No,40,SINGAPORE,70,17.39,F,29
3877,3878,C2B,Airlines,Online,Bronze Plan,No,5,SINGAPORE,23,5.85,M,33
3878,3879,C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,22,5.53,M,30
3879,3880,C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,15,3.74,F,30
3880,3881,C2B,Airlines,Online,Bronze Plan,No,55,SINGAPORE,45,11.21,M,29
3881,3882,C2B,Airlines,Online,Silver Plan,No,44,SINGAPORE,71,17.75,M,37
3882,3883,C2B,Airlines,Online,Silver Plan,No,9,SINGAPORE,50,12.5,M,37
3883,3884,C2B,Airlines,Online,Silver Plan,No,35,SINGAPORE,81,20.15,F,30
3884,3885,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,71,17.71,F,46
3885,3886,C2B,Airlines,Online,Silver Plan,No,21,SINGAPORE,71,17.71,M,33
3886,3887,C2B,Airlines,Online,Silver Plan,No,8,SINGAPORE,83,20.75,M,37
3887,3888,C2B,Airlines,Online,Gold Plan,No,22,SINGAPORE,119,29.75,M,49
3888,3889,C2B,Airlines,Online,Annual Silver Plan,No,377,SINGAPORE,253,63.21,F,59
3889,3890,C2B,Airlines,Online,Annual Silver Plan,No,377,SINGAPORE,214,53.49,F,48
3890,3891,C2B,Airlines,Online,Annual Silver Plan,No,375,SINGAPORE,253,63.21,M,43
3891,3892,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,188,46.96,F,52
3892,3893,C2B,Airlines,Online,Annual Silver Plan,No,371,SINGAPORE,253,63.21,F,65
3893,3894,C2B,Airlines,Online,Annual Silver Plan,No,377,SINGAPORE,253,63.21,F,78
3894,3895,C2B,Airlines,Online,Annual Silver Plan,No,372,SINGAPORE,253,63.21,M,39
3895,3896,C2B,Airlines,Online,Annual Silver Plan,No,366,SINGAPORE,253,63.21,M,28
3896,3897,JWT,Airlines,Online,Value Plan,No,7,INDIA,31,12.4,M,118
3897,3898,JWT,Airlines,Online,Value Plan,No,2,INDIA,31,12.4,M,118
3898,3899,JWT,Airlines,Online,Value Plan,No,7,INDIA,39,15.6,M,118
3899,3900,JWT,Airlines,Online,Value Plan,No,5,INDIA,39,15.6,M,118
3900,3901,RAB,Airlines,Online,Value Plan,No,1,BRUNEI DARUSSALAM,15,6.0,M,63
3901,3902,RAB,Airlines,Online,Value Plan,No,69,BRUNEI DARUSSALAM,31,12.4,F,17
3902,3903,JZI,Airlines,Online,Basic Plan,No,22,MALAYSIA,22,7.7,M,26
3903,3904,JZI,Airlines,Online,Basic Plan,No,14,HONG KONG,26,9.1,F,69
3904,3905,JZI,Airlines,Online,Basic Plan,No,31,MALAYSIA,18,6.3,F,41
3905,3906,JZI,Airlines,Online,Basic Plan,No,59,CHINA,40,14.0,M,46
3906,3907,JZI,Airlines,Online,Basic Plan,No,14,HONG KONG,26,9.1,F,40
3907,3908,JZI,Airlines,Online,Basic Plan,No,83,INDONESIA,37,12.95,F,36
3908,3909,JZI,Airlines,Online,Basic Plan,No,1,MALAYSIA,18,6.3,M,51
3909,3910,JZI,Airlines,Online,Basic Plan,No,16,CHINA,26,9.1,F,37
3910,3911,JZI,Airlines,Online,Basic Plan,No,13,THAILAND,22,7.7,M,53
3911,3912,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,22,7.7,M,21
3912,3913,JZI,Airlines,Online,Basic Plan,No,70,HONG KONG,35,12.25,F,21
3913,3914,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18,6.3,F,27
3914,3915,JZI,Airlines,Online,Basic Plan,No,9,"TAIWAN, PROVINCE OF CHINA",26,9.1,F,35
3915,3916,JZI,Airlines,Online,Basic Plan,No,22,HONG KONG,26,9.1,M,33
3916,3917,JZI,Airlines,Online,Basic Plan,No,44,HONG KONG,26,9.1,F,32
3917,3918,JZI,Airlines,Online,Basic Plan,No,32,CHINA,35,12.25,M,29
3918,3919,JZI,Airlines,Online,Basic Plan,No,23,HONG KONG,26,9.1,M,33
3919,3920,JZI,Airlines,Online,Basic Plan,No,63,PHILIPPINES,37,12.95,F,33
3920,3921,JZI,Airlines,Online,Basic Plan,No,37,"KOREA, REPUBLIC OF",40,14.0,F,23
3921,3922,JZI,Airlines,Online,Basic Plan,No,9,MALAYSIA,22,7.7,M,46
3922,3923,JZI,Airlines,Online,Basic Plan,No,38,CHINA,26,9.1,F,42
3923,3924,JZI,Airlines,Online,Basic Plan,No,6,CHINA,26,9.1,M,58
3924,3925,JZI,Airlines,Online,Basic Plan,No,125,"TAIWAN, PROVINCE OF CHINA",26,9.1,M,52
3925,3926,JZI,Airlines,Online,Basic Plan,No,9,MYANMAR,22,7.7,M,51
3926,3927,JZI,Airlines,Online,Basic Plan,No,8,INDONESIA,30,10.5,F,31
3927,3928,JZI,Airlines,Online,Basic Plan,No,4,INDONESIA,18,6.3,F,28
3928,3929,JZI,Airlines,Online,Basic Plan,No,5,UNITED ARAB EMIRATES,36,12.6,M,67
3929,3930,JZI,Airlines,Online,Value Plan,No,74,"KOREA, REPUBLIC OF",83,29.05,M,36
3930,3931,CBH,Travel Agency,Offline,Comprehensive Plan,No,51,THAILAND,29,9.57,F,63
3931,3932,CBH,Travel Agency,Offline,Comprehensive Plan,No,245,THAILAND,29,9.57,F,64
3932,3933,CBH,Travel Agency,Offline,Comprehensive Plan,No,229,MALAYSIA,29,9.57,F,64
3933,3934,CBH,Travel Agency,Offline,Comprehensive Plan,No,40,MALAYSIA,29,9.57,F,43
3934,3935,CBH,Travel Agency,Offline,Comprehensive Plan,No,245,THAILAND,29,9.57,F,60
3935,3936,CBH,Travel Agency,Offline,Comprehensive Plan,No,226,THAILAND,29,9.57,F,72
3936,3937,CBH,Travel Agency,Offline,Comprehensive Plan,No,226,THAILAND,29,9.57,F,73
3937,3938,CBH,Travel Agency,Offline,Comprehensive Plan,No,245,THAILAND,29,9.57,F,40
3938,3939,CBH,Travel Agency,Offline,Comprehensive Plan,No,233,THAILAND,29,9.57,M,80
3939,3940,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,31,7.64,M,22
3940,3941,C2B,Airlines,Online,Bronze Plan,No,11,SINGAPORE,23,5.85,M,58
3941,3942,C2B,Airlines,Online,Bronze Plan,No,11,SINGAPORE,23,5.85,M,36
3942,3943,C2B,Airlines,Online,Silver Plan,No,17,SINGAPORE,83,20.64,F,29
3943,3944,C2B,Airlines,Online,Silver Plan,No,22,SINGAPORE,32,7.96,M,27
3944,3945,C2B,Airlines,Online,Gold Plan,No,73,SINGAPORE,77,19.34,F,32
3945,3946,C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,188,46.96,M,46
3946,3947,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,253,63.21,M,34
3947,3948,C2B,Airlines,Online,Annual Silver Plan,No,387,SINGAPORE,253,63.21,M,24
3948,3949,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,253,63.21,M,49
3949,3950,C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,188,46.96,F,51
3950,3951,C2B,Airlines,Online,Annual Silver Plan,Yes,366,SINGAPORE,188,46.96,M,37
3951,3952,C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,188,46.96,M,47
3952,3953,C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,389,97.25,M,46
3953,3954,JWT,Airlines,Online,Value Plan,No,22,INDIA,31,12.4,F,118
3954,3955,JWT,Airlines,Online,Value Plan,No,8,INDIA,31,12.4,M,118
3955,3956,JWT,Airlines,Online,Value Plan,No,13,INDIA,39,15.6,M,118
3956,3957,JWT,Airlines,Online,Value Plan,No,62,INDIA,144,57.6,F,118
3957,3958,KML,Travel Agency,Online,Value Plan,No,59,UNITED KINGDOM,109,41.42,F,48
3958,3959,KML,Travel Agency,Online,Value Plan,No,67,HUNGARY,95,36.1,F,48
3959,3960,KML,Travel Agency,Online,Premier Plan,No,39,INDONESIA,38,14.44,F,48
3960,3961,RAB,Airlines,Online,Value Plan,No,34,BRUNEI DARUSSALAM,31,12.4,M,24
3961,3962,JZI,Airlines,Online,Basic Plan,No,48,INDIA,40,14.0,M,37
3962,3963,JZI,Airlines,Online,Basic Plan,No,4,HONG KONG,22,7.7,F,44
3963,3964,JZI,Airlines,Online,Basic Plan,No,11,THAILAND,18,6.3,M,47
3964,3965,JZI,Airlines,Online,Basic Plan,No,19,PHILIPPINES,22,7.7,M,36
3965,3966,JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,26,9.1,F,40
3966,3967,JZI,Airlines,Online,Basic Plan,No,9,MALAYSIA,22,7.7,M,32
3967,3968,JZI,Airlines,Online,Basic Plan,No,40,THAILAND,22,7.7,M,56
3968,3969,JZI,Airlines,Online,Basic Plan,No,2,INDONESIA,18,6.3,M,56
3969,3970,JZI,Airlines,Online,Basic Plan,No,24,THAILAND,18,6.3,M,46
3970,3971,JZI,Airlines,Online,Basic Plan,No,6,VIET NAM,18,6.3,M,49
3971,3972,JZI,Airlines,Online,Basic Plan,No,78,INDONESIA,30,10.5,F,37
3972,3973,JZI,Airlines,Online,Basic Plan,No,7,THAILAND,22,7.7,F,47
3973,3974,JZI,Airlines,Online,Basic Plan,No,74,INDONESIA,37,12.95,F,26
3974,3975,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18,6.3,M,43
3975,3976,JZI,Airlines,Online,Basic Plan,No,4,HONG KONG,22,7.7,F,37
3976,3977,JZI,Airlines,Online,Basic Plan,No,159,HONG KONG,26,9.1,F,67
3977,3978,JZI,Airlines,Online,Basic Plan,No,67,CHINA,63,22.05,M,42
3978,3979,JZI,Airlines,Online,Basic Plan,No,10,MALAYSIA,18,6.3,F,52
3979,3980,JZI,Airlines,Online,Basic Plan,No,3,INDONESIA,18,6.3,M,54
3980,3981,JZI,Airlines,Online,Basic Plan,No,26,CHINA,35,12.25,M,32
3981,3982,JZI,Airlines,Online,Basic Plan,No,7,MALAYSIA,18,6.3,F,27
3982,3983,JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18,6.3,M,45
3983,3984,JZI,Airlines,Online,Basic Plan,No,28,MALAYSIA,18,6.3,M,44
3984,3985,JZI,Airlines,Online,Basic Plan,No,17,INDIA,26,9.1,M,58
3985,3986,JZI,Airlines,Online,Basic Plan,No,32,INDONESIA,30,10.5,F,30
3986,3987,JZI,Airlines,Online,Basic Plan,No,28,MALAYSIA,18,6.3,M,35
3987,3988,JZI,Airlines,Online,Basic Plan,No,180,"TAIWAN, PROVINCE OF CHINA",26,9.1,M,36
3988,3989,JZI,Airlines,Online,Basic Plan,No,38,CHINA,44,15.4,F,52
3989,3990,JZI,Airlines,Online,Basic Plan,No,11,MALAYSIA,18,6.3,F,38
3990,3991,JZI,Airlines,Online,Basic Plan,No,10,PHILIPPINES,22,7.7,M,38
3991,3992,JZI,Airlines,Online,Basic Plan,No,11,INDONESIA,18,6.3,F,31
3992,3993,JZI,Airlines,Online,Basic Plan,No,319,HONG KONG,44,15.4,F,50
3993,3994,JZI,Airlines,Online,Basic Plan,No,15,VIET NAM,30,10.5,M,44
3994,3995,JZI,Airlines,Online,Basic Plan,No,11,SRI LANKA,0,12.25,M,33
3995,3996,JZI,Airlines,Online,Basic Plan,No,9,SRI LANKA,26,9.1,M,33
3996,3997,CBH,Travel Agency,Offline,Comprehensive Plan,No,39,MALAYSIA,29,9.57,F,69
3997,3998,CBH,Travel Agency,Offline,Comprehensive Plan,No,225,THAILAND,29,9.57,F,70
3998,3999,CBH,Travel Agency,Offline,Comprehensive Plan,No,225,THAILAND,29,9.57,F,77
3999,4000,ART,Airlines,Online,24 Protect,No,1,PHILIPPINES,4,1.31,M,48
4000,4001,C2B,Airlines,Online,Bronze Plan,No,24,SINGAPORE,18,4.39,F,36
4001,4002,C2B,Airlines,Online,Bronze Plan,No,3,SINGAPORE,15,3.74,M,31
4002,4003,C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,31,7.64,F,26
4003,4004,C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,31,7.64,M,74
4004,4005,C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,31,7.64,F,24
4005,4006,C2B,Airlines,Online,Bronze Plan,No,3,SINGAPORE,15,3.74,F,30
4006,4007,C2B,Airlines,Online,Bronze Plan,No,30,SINGAPORE,59,14.79,F,27
4007,4008,C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,23,5.85,M,30
